Brand,Name,Price,Link,Image
BANANA REPUBLIC ,Áo Kiểu Nữ,1.150.000,https://www.acfc.com.vn/banana-republic-ao-kieu-nu-br-700578-02.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn20443424_v3v2jchtbo3zbwi2.jpg
CK PERFORMANCE ,Áo Bra Thể Thao Nữ Medium Support Fit,1.499.000,https://www.acfc.com.vn/ck-performance-ao-thun-the-thao-nu-medium-support-fit-ck-4ws2k160-001.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/4/w/4ws2k160-001-1_1.jpg
FRENCH CONNECTION ,Áo Khoác Nữ Emiko Whisper Ruth Blazer,3.999.000,https://www.acfc.com.vn/french-connection-ao-khoac-nu-emiko-whisper-ruth-blazer-fcuk-75sag-30.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/7/5/75sag-30-1_z0xw6sth8oesvbza.jpg
GAP ,Đầm Thun Nữ,399.000,https://www.acfc.com.vn/dam-thun-nu-gap-593767-00.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/c/n/cn18896551_result_1.jpg
FRENCH CONNECTION ,Đầm Nữ Floral Drape Strappy Maxi Drss,2.699.000,https://www.acfc.com.vn/french-connection-dam-nu-floral-drape-strappy-maxi-drss-fcuk-71qed-42.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/7/1/71qed-42-1_1.jpg
LEVI'S ,Đầm Jeans Nữ,1.499.000,https://www.acfc.com.vn/levi-s-dam-jeans-nu-levis-21969-0001.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/2/1/21969_0001_1.jpg
LEVI'S ,Áo Khoác Jeans Nữ,1.099.000,https://www.acfc.com.vn/levi-s-ao-khoac-jeans-nu-levis-34494-0005.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/3/4/34494-0005-cropfront_1_3.jpg
CK JEANS ,Áo Thun Nữ Fashion Fit,1.799.000,https://www.acfc.com.vn/ck-jeans-ao-thun-nu-fashion-fit-ck-j219702-yaf.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/j/2/j219702-yaf-item-2_ujt55j1kgsl9cfk1.jpg
CK JEANS ,Quần Ngắn Nữ Mom Fit,2.899.000,https://www.acfc.com.vn/ck-jeans-quan-ngan-nu-mom-fit-ck-j218945-1a4.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/j/2/j218945-1a4-1_2.jpg
LEVI'S ,Áo Thun Nữ Tay Ngắn,699.000,https://www.acfc.com.vn/levi-s-ao-thun-nu-tay-ngan-levis-a0785-0036.html,https://exacdn.acfc.com.vn/media/catalog/product/cache/e0eb9f74eaaa356eac6b0ce899de6ac0/a/0/a07850036-front-pdp_10fxifttylom67ks.jpg
